Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q9Y2W2|WBP11_HUMAN;tr|F5H5G4|F5H5G4_HUMAN	sp|Q9Y2W2|WBP11_HUMAN	3;1	3;1	3;1	sp|Q9Y2W2|WBP11_HUMAN WW domain-binding protein 11 OS=Homo sapiens GN=WBP11 PE=1 SV=1	2	3	3	3	5.6	5.6	5.6	69.997	641	641;194	0	18.65	69956000	2				2658	1463;1907;4325	True;True;True	1484;1932;4380	1740;2252;5154	1974;2535;5817	1974;2535;5817		
sp|Q9Y2X3|NOP58_HUMAN;tr|H7BZ72|H7BZ72_HUMAN	sp|Q9Y2X3|NOP58_HUMAN	10;4	10;4	10;4	sp|Q9Y2X3|NOP58_HUMAN Nucleolar protein 58 OS=Homo sapiens GN=NOP58 PE=1 SV=1	2	10	10	10	25	25	25	59.578	529	529;187	0	85.02	699310000	12				2659	3424;4353;7202;8439;9702;11174;11817;12170;18067;18380	True;True;True;True;True;True;True;True;True;True	3470;4408;7304;8557;9842;11332;11984;12340;18357;18678	4068;4069;5186;8624;10170;11740;13545;14318;14736;21805;22196	4596;4597;5854;5855;9711;11488;13232;15251;16128;16588;24451;24914	4597;5855;9711;11488;13232;15251;16128;16588;24451;24914		
tr|J3QLH1|J3QLH1_HUMAN;tr|J3QRU8|J3QRU8_HUMAN;sp|Q9Y2X7|GIT1_HUMAN;sp|Q9Y2X7-3|GIT1_HUMAN	tr|J3QLH1|J3QLH1_HUMAN;tr|J3QRU8|J3QRU8_HUMAN;sp|Q9Y2X7|GIT1_HUMAN;sp|Q9Y2X7-3|GIT1_HUMAN	1;1;1;1	1;1;1;1	1;1;1;1	tr|J3QLH1|J3QLH1_HUMAN ARF GTPase-activating protein GIT1 (Fragment) OS=Homo sapiens GN=GIT1 PE=1 SV=2;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1 PE=1 SV=1;sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Ho	4	1	1	1	7	7	7	25.736	228	228;694;761;770	0.0012563	8.489	18033000	1				2660	10801	True	10954	13087	14727	14727		
sp|Q9Y2Z0-2|SUGT1_HUMAN;sp|Q9Y2Z0|SUGT1_HUMAN;tr|F5H5A9|F5H5A9_HUMAN	sp|Q9Y2Z0-2|SUGT1_HUMAN;sp|Q9Y2Z0|SUGT1_HUMAN;tr|F5H5A9|F5H5A9_HUMAN	4;4;3	4;4;3	4;4;3	sp|Q9Y2Z0-2|SUGT1_HUMAN Isoform 2 of Suppressor of G2 allele of SKP1 homolog OS=Homo sapiens GN=SUGT1;sp|Q9Y2Z0|SUGT1_HUMAN Suppressor of G2 allele of SKP1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3;tr|F5H5A9|F5H5A9_HUMAN Suppressor of G2 allele of SKP1 ho	3	4	4	4	16.5	16.5	16.5	37.804	333	333;365;277	0	29.352	175600000	3				2661	1004;10863;13941;16406	True;True;True;True	1019;11017;14162;16663	1181;13160;16856;19784	1319;14819;18927;22184	1319;14819;18927;22184		
sp|Q9Y2Z4|SYYM_HUMAN;tr|H0YHS6|H0YHS6_HUMAN	sp|Q9Y2Z4|SYYM_HUMAN;tr|H0YHS6|H0YHS6_HUMAN	8;6	8;6	8;6	sp|Q9Y2Z4|SYYM_HUMAN Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens GN=YARS2 PE=1 SV=2;tr|H0YHS6|H0YHS6_HUMAN Tyrosine--tRNA ligase, mitochondrial (Fragment) OS=Homo sapiens GN=YARS2 PE=1 SV=1	2	8	8	8	27.3	27.3	27.3	53.198	477	477;291	0	59.88	308410000	7				2662	753;2764;3486;10877;11007;12352;14799;15755	True;True;True;True;True;True;True;True	763;2803;3532;11031;11163;12523;15037;16002	885;3277;3278;4141;13176;13343;14943;17868;18999	984;3711;3712;4672;14840;15035;16813;20035;21292	984;3711;4672;14840;15035;16813;20035;21292		
sp|Q9Y305-3|ACOT9_HUMAN;sp|Q9Y305-2|ACOT9_HUMAN;sp|Q9Y305|ACOT9_HUMAN;sp|Q9Y305-4|ACOT9_HUMAN;tr|H7C5Q2|H7C5Q2_HUMAN;tr|C9J7L8|C9J7L8_HUMAN	sp|Q9Y305-3|ACOT9_HUMAN;sp|Q9Y305-2|ACOT9_HUMAN;sp|Q9Y305|ACOT9_HUMAN;sp|Q9Y305-4|ACOT9_HUMAN;tr|H7C5Q2|H7C5Q2_HUMAN;tr|C9J7L8|C9J7L8_HUMAN	5;5;5;5;4;3	5;5;5;5;4;3	5;5;5;5;4;3	sp|Q9Y305-3|ACOT9_HUMAN Isoform 3 of Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9;sp|Q9Y305-2|ACOT9_HUMAN Isoform 2 of Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9;sp|Q9Y305|ACOT9_HUMAN Acyl-coenzyme A th	6	5	5	5	15.6	15.6	15.6	43.206	379	379;406;439;448;264;136	0	32.44	142000000	5				2663	8546;9860;16405;19400;20815	True;True;True;True;True	8665;10003;16662;19713;21146	10302;11944;19783;23454;25151	11632;13454;22183;26312;28216	11632;13454;22183;26312;28216		
sp|Q9Y312|AAR2_HUMAN;tr|A2A2Q9|A2A2Q9_HUMAN	sp|Q9Y312|AAR2_HUMAN;tr|A2A2Q9|A2A2Q9_HUMAN	1;1	1;1	1;1	sp|Q9Y312|AAR2_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=2;tr|A2A2Q9|A2A2Q9_HUMAN Protein AAR2 homolog OS=Homo sapiens GN=AAR2 PE=1 SV=1	2	1	1	1	3.9	3.9	3.9	43.472	384	384;398	0.0019833	7.1158	13532000	1				2664	20296	True	20620	24536	27541	27541		
tr|G3V158|G3V158_HUMAN;sp|Q9Y315|DEOC_HUMAN;tr|E9PPM8|E9PPM8_HUMAN;tr|E9PPK3|E9PPK3_HUMAN;tr|E9PMH9|E9PMH9_HUMAN;tr|E9PML7|E9PML7_HUMAN	tr|G3V158|G3V158_HUMAN;sp|Q9Y315|DEOC_HUMAN;tr|E9PPM8|E9PPM8_HUMAN	3;3;2;1;1;1	3;3;2;1;1;1	3;3;2;1;1;1	tr|G3V158|G3V158_HUMAN 2-deoxyribose-5-phosphate aldolase homolog (C. elegans), isoform CRA_a OS=Homo sapiens GN=DERA PE=1 SV=1;sp|Q9Y315|DEOC_HUMAN Putative deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2;tr|E9PPM8|E9PPM8_HUMAN Putative d	6	3	3	3	17.4	17.4	17.4	25.113	230	230;318;275;98;163;236	0	19.111	66611000	4				2665	3113;3656;16543	True;True;True	3157;3704;16802	3691;4357;19950	4171;4911;22368;22369	4171;4911;22369		
sp|Q9Y316-2|MEMO1_HUMAN;sp|Q9Y316|MEMO1_HUMAN;sp|Q9Y316-3|MEMO1_HUMAN	sp|Q9Y316-2|MEMO1_HUMAN;sp|Q9Y316|MEMO1_HUMAN;sp|Q9Y316-3|MEMO1_HUMAN	2;2;2	2;2;2	2;2;2	sp|Q9Y316-2|MEMO1_HUMAN Isoform 2 of Protein MEMO1 OS=Homo sapiens GN=MEMO1;sp|Q9Y316|MEMO1_HUMAN Protein MEMO1 OS=Homo sapiens GN=MEMO1 PE=1 SV=1;sp|Q9Y316-3|MEMO1_HUMAN Isoform 3 of Protein MEMO1 OS=Homo sapiens GN=MEMO1	3	2	2	2	13.5	13.5	13.5	31.307	274	274;297;300	0	12.922	16880000	2				2666	1225;8184	True;True	1243;8300	1453;9865	1631;11147	1631;11147		
sp|Q9Y320-2|TMX2_HUMAN;sp|Q9Y320|TMX2_HUMAN	sp|Q9Y320-2|TMX2_HUMAN;sp|Q9Y320|TMX2_HUMAN	1;1	1;1	1;1	sp|Q9Y320-2|TMX2_HUMAN Isoform 2 of Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2;sp|Q9Y320|TMX2_HUMAN Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2 PE=1 SV=1	2	1	1	1	3.9	3.9	3.9	29.642	258	258;296	0.0045164	6.2192	26229000	1				2667	3740	True	3789	4453	5017	5017		
sp|Q9Y333|LSM2_HUMAN	sp|Q9Y333|LSM2_HUMAN	2	2	2	sp|Q9Y333|LSM2_HUMAN U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens GN=LSM2 PE=1 SV=1	1	2	2	2	28.4	28.4	28.4	10.834	95	95	0	15.714	112510000	2				2668	13115;21050	True;True	13313;21385	15868;25432	17826;28531	17826;28531		
sp|Q9Y343-2|SNX24_HUMAN;sp|Q9Y343|SNX24_HUMAN;tr|A8MXB7|A8MXB7_HUMAN	sp|Q9Y343-2|SNX24_HUMAN;sp|Q9Y343|SNX24_HUMAN;tr|A8MXB7|A8MXB7_HUMAN	1;1;1	1;1;1	1;1;1	sp|Q9Y343-2|SNX24_HUMAN Isoform 2 of Sorting nexin-24 OS=Homo sapiens GN=SNX24;sp|Q9Y343|SNX24_HUMAN Sorting nexin-24 OS=Homo sapiens GN=SNX24 PE=1 SV=1;tr|A8MXB7|A8MXB7_HUMAN Sorting nexin-24 OS=Homo sapiens GN=SNX24 PE=1 SV=1	3	1	1	1	5.7	5.7	5.7	18.603	159	159;169;202	0.0026769	6.4379	9555300	1				2669	10839	True	10992	13130	14780	14780		
tr|F5H1Z6|F5H1Z6_HUMAN;tr|F5H8H3|F5H8H3_HUMAN;sp|Q9Y365|PCTL_HUMAN;tr|F5GY11|F5GY11_HUMAN;tr|H0YFF3|H0YFF3_HUMAN;tr|F5H8G1|F5H8G1_HUMAN;tr|F5GWK5|F5GWK5_HUMAN;tr|H0YGN8|H0YGN8_HUMAN;tr|F5H0V7|F5H0V7_HUMAN;tr|H0YH17|H0YH17_HUMAN;tr|H0YGA9|H0YGA9_HUMAN;tr|F5GY07|F5GY07_HUMAN;tr|F5H5A8|F5H5A8_HUMAN;tr|F5H3G8|F5H3G8_HUMAN	tr|F5H1Z6|F5H1Z6_HUMAN;tr|F5H8H3|F5H8H3_HUMAN;sp|Q9Y365|PCTL_HUMAN;tr|F5GY11|F5GY11_HUMAN;tr|H0YFF3|H0YFF3_HUMAN;tr|F5H8G1|F5H8G1_HUMAN;tr|F5GWK5|F5GWK5_HUMAN;tr|H0YGN8|H0YGN8_HUMAN;tr|F5H0V7|F5H0V7_HUMAN;tr|H0YH17|H0YH17_HUMAN;tr|H0YGA9|H0YGA9_HUMAN	6;6;6;5;4;4;3;3;3;3;3;2;2;2	6;6;6;5;4;4;3;3;3;3;3;2;2;2	6;6;6;5;4;4;3;3;3;3;3;2;2;2	tr|F5H1Z6|F5H1Z6_HUMAN PCTP-like protein (Fragment) OS=Homo sapiens GN=STARD10 PE=1 SV=1;tr|F5H8H3|F5H8H3_HUMAN PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=1;sp|Q9Y365|PCTL_HUMAN PCTP-like protein OS=Homo sapiens GN=STARD10 PE=1 SV=2;tr|F5GY11|F5G	14	6	6	6	34.1	34.1	34.1	29.043	252	252;262;291;245;169;191;82;121;137;142;150;58;89;131	0	46.733	1188100000	7				2670	1908;4661;10311;12872;15841;16856	True;True;True;True;True;True	1933;4720;10457;13055;13056;16089;17122	2253;5546;12510;12511;15563;15564;19096;20316	2536;6243;14081;14082;17494;17495;21404;22777	2536;6243;14081;17494;21404;22777	386	72
sp|Q9Y371|SHLB1_HUMAN;sp|Q9Y371-2|SHLB1_HUMAN;sp|Q9Y371-3|SHLB1_HUMAN	sp|Q9Y371|SHLB1_HUMAN;sp|Q9Y371-2|SHLB1_HUMAN;sp|Q9Y371-3|SHLB1_HUMAN	3;3;2	2;2;2	2;2;2	sp|Q9Y371|SHLB1_HUMAN Endophilin-B1 OS=Homo sapiens GN=SH3GLB1 PE=1 SV=1;sp|Q9Y371-2|SHLB1_HUMAN Isoform 2 of Endophilin-B1 OS=Homo sapiens GN=SH3GLB1;sp|Q9Y371-3|SHLB1_HUMAN Isoform 3 of Endophilin-B1 OS=Homo sapiens GN=SH3GLB1	3	3	2	2	10.4	8.2	8.2	40.796	365	365;386;265	0	14.385	111120000	3				2671	1901;4212;11559	False;True;True	1926;4267;11720	2246;5018;14020;14021	2529;5658;15798;15799	2529;5658;15798		
tr|H0YJE4|H0YJE4_HUMAN;sp|Q9Y394-2|DHRS7_HUMAN;sp|Q9Y394|DHRS7_HUMAN;tr|H0YJ66|H0YJ66_HUMAN;tr|H0YJR8|H0YJR8_HUMAN	tr|H0YJE4|H0YJE4_HUMAN;sp|Q9Y394-2|DHRS7_HUMAN;sp|Q9Y394|DHRS7_HUMAN;tr|H0YJ66|H0YJ66_HUMAN	3;3;3;3;1	3;3;3;3;1	3;3;3;3;1	tr|H0YJE4|H0YJE4_HUMAN Dehydrogenase/reductase SDR family member 7 (Fragment) OS=Homo sapiens GN=DHRS7 PE=1 SV=1;sp|Q9Y394-2|DHRS7_HUMAN Isoform 2 of Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens GN=DHRS7;sp|Q9Y394|DHRS7_HUMAN Dehydrogenase/r	5	3	3	3	21.9	21.9	21.9	17.851	160	160;289;339;399;212	0	19.129	140180000	3				2672	1881;2667;6145	True;True;True	1906;2706;6234	2223;3161;7321	2506;3579;8213	2506;3579;8213		
tr|Q5T8A0|Q5T8A0_HUMAN;sp|Q9Y399|RT02_HUMAN	tr|Q5T8A0|Q5T8A0_HUMAN;sp|Q9Y399|RT02_HUMAN	1;1	1;1	1;1	tr|Q5T8A0|Q5T8A0_HUMAN 28S ribosomal protein S2, mitochondrial (Fragment) OS=Homo sapiens GN=MRPS2 PE=1 SV=1;sp|Q9Y399|RT02_HUMAN 28S ribosomal protein S2, mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1	2	1	1	1	3.3	3.3	3.3	30.479	270	270;296	0.0015962	7.2039	17956000	1				2673	2386	True	2420	2828	3203	3203		
tr|F8WE72|F8WE72_HUMAN;sp|Q9Y3A5|SBDS_HUMAN	tr|F8WE72|F8WE72_HUMAN;sp|Q9Y3A5|SBDS_HUMAN	2;2	2;2	2;2	tr|F8WE72|F8WE72_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens GN=SBDS PE=1 SV=1;sp|Q9Y3A5|SBDS_HUMAN Ribosome maturation protein SBDS OS=Homo sapiens GN=SBDS PE=1 SV=4	2	2	2	2	29.1	29.1	29.1	9.7691	86	86;250	0	13.55	122280000	2				2674	2789;15389	True;True	2828;15631	3307;18540	3744;20783	3744;20783		
sp|Q9Y3B4|SF3B6_HUMAN	sp|Q9Y3B4|SF3B6_HUMAN	2	2	2	sp|Q9Y3B4|SF3B6_HUMAN Splicing factor 3B subunit 6 OS=Homo sapiens GN=SF3B6 PE=1 SV=1	1	2	2	2	20.8	20.8	20.8	14.585	125	125	0	15.622	138770000	2				2675	6946;9056	True;True	7045;9187	8320;10918	9354;12317	9354;12317		
sp|Q9Y3B7-3|RM11_HUMAN;sp|Q9Y3B7|RM11_HUMAN;sp|Q9Y3B7-2|RM11_HUMAN;tr|E9PQB6|E9PQB6_HUMAN;tr|H0YCD5|H0YCD5_HUMAN	sp|Q9Y3B7-3|RM11_HUMAN;sp|Q9Y3B7|RM11_HUMAN;sp|Q9Y3B7-2|RM11_HUMAN;tr|E9PQB6|E9PQB6_HUMAN	4;4;3;2;1	4;4;3;2;1	4;4;3;2;1	sp|Q9Y3B7-3|RM11_HUMAN Isoform 3 of 39S ribosomal protein L11, mitochondrial OS=Homo sapiens GN=MRPL11;sp|Q9Y3B7|RM11_HUMAN 39S ribosomal protein L11, mitochondrial OS=Homo sapiens GN=MRPL11 PE=1 SV=1;sp|Q9Y3B7-2|RM11_HUMAN Isoform 2 of 39S ribosomal prote	5	4	4	4	26	26	26	19.454	181	181;192;166;75;63	0	26.166	161260000	4				2676	1417;7087;8296;9966	True;True;True;True	1437;7189;8413;10110	1688;8484;9990;12074	1897;9535;11287;13594	1897;9535;11287;13594		
tr|H0YGR4|H0YGR4_HUMAN;tr|H0YG54|H0YG54_HUMAN;sp|Q9Y3B8-2|ORN_HUMAN;sp|Q9Y3B8-3|ORN_HUMAN;sp|Q9Y3B8|ORN_HUMAN;tr|F5GX07|F5GX07_HUMAN;tr|H0YG83|H0YG83_HUMAN;tr|F5GYG5|F5GYG5_HUMAN;tr|H0YH58|H0YH58_HUMAN;tr|H0YF66|H0YF66_HUMAN;tr|F5H784|F5H784_HUMAN	tr|H0YGR4|H0YGR4_HUMAN;tr|H0YG54|H0YG54_HUMAN;sp|Q9Y3B8-2|ORN_HUMAN;sp|Q9Y3B8-3|ORN_HUMAN;sp|Q9Y3B8|ORN_HUMAN;tr|F5GX07|F5GX07_HUMAN;tr|H0YG83|H0YG83_HUMAN;tr|F5GYG5|F5GYG5_HUMAN;tr|H0YH58|H0YH58_HUMAN	6;6;6;6;6;5;5;5;4;1;1	6;6;6;6;6;5;5;5;4;1;1	6;6;6;6;6;5;5;5;4;1;1	tr|H0YGR4|H0YGR4_HUMAN Oligoribonuclease, mitochondrial (Fragment) OS=Homo sapiens GN=REXO2 PE=1 SV=1;tr|H0YG54|H0YG54_HUMAN Oligoribonuclease, mitochondrial (Fragment) OS=Homo sapiens GN=REXO2 PE=1 SV=1;sp|Q9Y3B8-2|ORN_HUMAN Isoform 2 of Oligoribonuclease	11	6	6	6	32.3	32.3	32.3	22.006	192	192;197;199;205;237;147;154;222;111;67;121	0	41.411	519880000	7				2677	4651;8379;9717;15064;15705;20400	True;True;True;True;True;True	4710;8496;9857;15303;15952;20727	5534;10093;11757;18171;18946;24662	6231;11403;13251;20364;20365;21235;27682	6231;11403;13251;20364;21235;27682		
sp|Q9Y3C1|NOP16_HUMAN;tr|D6RIC3|D6RIC3_HUMAN;sp|Q9Y3C1-2|NOP16_HUMAN	sp|Q9Y3C1|NOP16_HUMAN;tr|D6RIC3|D6RIC3_HUMAN;sp|Q9Y3C1-2|NOP16_HUMAN	2;1;1	2;1;1	2;1;1	sp|Q9Y3C1|NOP16_HUMAN Nucleolar protein 16 OS=Homo sapiens GN=NOP16 PE=1 SV=2;tr|D6RIC3|D6RIC3_HUMAN Nucleolar protein 16 OS=Homo sapiens GN=NOP16 PE=1 SV=1;sp|Q9Y3C1-2|NOP16_HUMAN Isoform 2 of Nucleolar protein 16 OS=Homo sapiens GN=NOP16	3	2	2	2	14.6	14.6	14.6	21.188	178	178;150;236	0	13.98	30456000	2				2678	5836;20846	True;True	5920;21179	6951;25190	7809;28261	7809;28261		
sp|Q9Y3C4|TPRKB_HUMAN;sp|Q9Y3C4-3|TPRKB_HUMAN;sp|Q9Y3C4-2|TPRKB_HUMAN	sp|Q9Y3C4|TPRKB_HUMAN;sp|Q9Y3C4-3|TPRKB_HUMAN;sp|Q9Y3C4-2|TPRKB_HUMAN	2;2;1	2;2;1	2;2;1	sp|Q9Y3C4|TPRKB_HUMAN EKC/KEOPS complex subunit TPRKB OS=Homo sapiens GN=TPRKB PE=1 SV=1;sp|Q9Y3C4-3|TPRKB_HUMAN Isoform 3 of EKC/KEOPS complex subunit TPRKB OS=Homo sapiens GN=TPRKB;sp|Q9Y3C4-2|TPRKB_HUMAN Isoform 2 of EKC/KEOPS complex subunit TPRKB OS=H	3	2	2	2	12	12	12	19.661	175	175;214;142	0	12.817	18221000	2				2679	13259;19944	True;True	13464;20263	16041;24102	18012;27035	18012;27035		
sp|Q9Y3C6|PPIL1_HUMAN	sp|Q9Y3C6|PPIL1_HUMAN	2	2	2	sp|Q9Y3C6|PPIL1_HUMAN Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1	1	2	2	2	14.5	14.5	14.5	18.237	166	166	0	14.281	131580000	2				2680	2494;18608	True;True	2531;18911	2952;22482	3342;25231	3342;25231		
sp|Q9Y3C8|UFC1_HUMAN	sp|Q9Y3C8|UFC1_HUMAN	2	2	2	sp|Q9Y3C8|UFC1_HUMAN Ubiquitin-fold modifier-conjugating enzyme 1 OS=Homo sapiens GN=UFC1 PE=1 SV=3	1	2	2	2	13.2	13.2	13.2	19.458	167	167	0	14.981	334500000	3				2681	2281;7994	True;True	2313;8110	2703;9640;9641	3047;10893;10894	3047;10894		
sp|Q9Y3D0|MIP18_HUMAN;tr|J3KS95|J3KS95_HUMAN;tr|H3BNV7|H3BNV7_HUMAN	sp|Q9Y3D0|MIP18_HUMAN;tr|J3KS95|J3KS95_HUMAN	3;2;1	3;2;1	3;2;1	sp|Q9Y3D0|MIP18_HUMAN Mitotic spindle-associated MMXD complex subunit MIP18 OS=Homo sapiens GN=FAM96B PE=1 SV=1;tr|J3KS95|J3KS95_HUMAN Mitotic spindle-associated MMXD complex subunit MIP18 (Fragment) OS=Homo sapiens GN=FAM96B PE=1 SV=1	3	3	3	3	36.8	36.8	36.8	17.663	163	163;106;161	0	21.829	145790000	3				2682	12859;16283;18412	True;True;True	13042;16538;18710	15550;19622;22239	17481;22002;24962	17481;22002;24962		
sp|Q9Y3D3|RT16_HUMAN;tr|A6ND22|A6ND22_HUMAN;tr|B4E032|B4E032_HUMAN	sp|Q9Y3D3|RT16_HUMAN;tr|A6ND22|A6ND22_HUMAN;tr|B4E032|B4E032_HUMAN	4;3;3	4;3;3	4;3;3	sp|Q9Y3D3|RT16_HUMAN 28S ribosomal protein S16, mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1;tr|A6ND22|A6ND22_HUMAN 28S ribosomal protein S16, mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1;tr|B4E032|B4E032_HUMAN 28S ribosomal protein S16, mitochon	3	4	4	4	36.5	36.5	36.5	15.345	137	137;99;123	0	23.674	150950000	4				2683	7839;9137;11508;12465	True;True;True;True	7952;9270;11669;12637	9456;11014;13958;15078	10677;12430;15725;16961	10677;12430;15725;16961		
sp|Q9Y3D5|RT18C_HUMAN	sp|Q9Y3D5|RT18C_HUMAN	1	1	1	sp|Q9Y3D5|RT18C_HUMAN 28S ribosomal protein S18c, mitochondrial OS=Homo sapiens GN=MRPS18C PE=1 SV=1	1	1	1	1	13.4	13.4	13.4	15.85	142	142	0	12.673	19507000	1				2684	14284	True	14518	17266	19372	19372		
sp|Q9Y3D6|FIS1_HUMAN	sp|Q9Y3D6|FIS1_HUMAN	3	3	3	sp|Q9Y3D6|FIS1_HUMAN Mitochondrial fission 1 protein OS=Homo sapiens GN=FIS1 PE=1 SV=2	1	3	3	3	23.7	23.7	23.7	16.937	152	152	0	23.778	106560000	4				2685	6464;6586;16942	True;True;True	6560;6682;17209	7744;7892;20414	8713;8714;8871;22887	8714;8871;22887		
sp|Q9Y3D9|RT23_HUMAN;tr|J3QLR8|J3QLR8_HUMAN	sp|Q9Y3D9|RT23_HUMAN;tr|J3QLR8|J3QLR8_HUMAN	7;6	7;6	7;6	sp|Q9Y3D9|RT23_HUMAN 28S ribosomal protein S23, mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=2;tr|J3QLR8|J3QLR8_HUMAN 28S ribosomal protein S23, mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=1	2	7	7	7	40.5	40.5	40.5	21.77	190	190;152	0	45.957	367300000	8				2686	501;1061;1342;10089;10772;10883;10952	True;True;True;True;True;True;True	508;1076;1362;10233;10925;11037;11107	590;1249;1601;12231;13054;13182;13271	658;659;1397;1803;13780;14687;14846;14943	659;1397;1803;13780;14687;14846;14943		
sp|Q9Y3E5|PTH2_HUMAN;tr|J3KQ48|J3KQ48_HUMAN	sp|Q9Y3E5|PTH2_HUMAN;tr|J3KQ48|J3KQ48_HUMAN	3;3	3;3	3;3	sp|Q9Y3E5|PTH2_HUMAN Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1;tr|J3KQ48|J3KQ48_HUMAN Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1	2	3	3	3	26.8	26.8	26.8	19.193	179	179;180	0	99.127	383010000	5				2687	1312;17574;18425	True;True;True	1332;17854;18724	1566;1567;21194;21195;22254;22255	1764;1765;23787;23788;24978;24979	1764;23788;24979		
sp|Q9Y3F4|STRAP_HUMAN;tr|B4DNJ6|B4DNJ6_HUMAN;tr|B0AZV0|B0AZV0_HUMAN;tr|H0YH33|H0YH33_HUMAN	sp|Q9Y3F4|STRAP_HUMAN;tr|B4DNJ6|B4DNJ6_HUMAN;tr|B0AZV0|B0AZV0_HUMAN	12;12;9;4	12;12;9;4	12;12;9;4	sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1;tr|B4DNJ6|B4DNJ6_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1;tr|B0AZV0|B0AZV0_HUMAN Serine-threoni	4	12	12	12	47.7	47.7	47.7	38.438	350	350;363;256;95	0	106.07	1630700000	14				2688	207;2273;3732;5680;6325;8254;12644;14737;16034;16035;20155;20490	True;True;True;True;True;True;True;True;True;True;True;True	208;2305;3781;5760;6420;8371;12817;14974;16287;16288;20477;20819	233;2694;4444;6768;7554;7555;9944;15289;17795;19323;19324;24358;24359;24766	259;3037;5007;7593;8485;8486;11233;17199;19956;21656;21657;27337;27338;27794	259;3037;5007;7593;8486;11233;17199;19956;21656;21657;27337;27794		
sp|Q9Y3I0|RTCB_HUMAN;tr|E7EQS9|E7EQS9_HUMAN	sp|Q9Y3I0|RTCB_HUMAN	16;7	16;7	16;7	sp|Q9Y3I0|RTCB_HUMAN tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1	2	16	16	16	41.2	41.2	41.2	55.21	505	505;175	0	135.92	2241700000	19				2689	3879;4522;6259;6555;6602;6649;11726;13145;13828;14291;14292;14828;17111;17937;17938;18877	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3932;4578;6350;6651;6698;6745;11889;13346;14047;14525;14526;15066;17381;18227;18228;19186	4617;4618;5377;5378;7469;7852;7910;7967;14205;15911;16725;17273;17274;17275;17903;17904;20618;21659;21660;22814;22815	5217;5218;6064;6065;8383;8826;8891;8960;16000;17872;18776;19379;19380;19381;20070;20071;23119;24295;24296;25606;25607	5217;6065;8383;8826;8891;8960;16000;17872;18776;19379;19381;20070;23119;24295;24296;25606		
sp|Q9Y3L5|RAP2C_HUMAN	sp|Q9Y3L5|RAP2C_HUMAN	1	1	1	sp|Q9Y3L5|RAP2C_HUMAN Ras-related protein Rap-2c OS=Homo sapiens GN=RAP2C PE=1 SV=1	1	1	1	1	4.9	4.9	4.9	20.745	183	183	0.0019516	6.7836	195210000	1				2690	19652	True	19970	23752	26645	26645		
